ID	Authors	Title	Link	Venue	full paper/ short	year	Elicitation	Analysis	Specification 	Validation 	Management	Description	Key Tools and Techniques		Characteristics of the model (ISO/IEC 25059)	Model Type	Parameters	Align with GenAI	Prompt Engineering	Prompt Type	Task Specificity 	Prompt Content	Fine tuning	Metrics	Contribution	Gap(s)	Main Outcome(s)	Is the paper’s goal clear?	Does the evaluation effectively meet  its stated goals and objectives?	Are results shown in detail?	Are the limitations, findings and tips for future study acknowledged and discussed?	Score
1	Zhang J.; Chen Y.; Liu C.; Niu N.; Wang Y.	Empirical Evaluation of ChatGPT on Requirements Information Retrieval Under Zero-Shot Setting	https://arxiv.org/abs/2304.12562	ArXiv	full	2023	✓	✓				Evaluate ChatGPT’s requirements retrieval to  improve methods using generative LLMs.	 	A1	Functional suitability，Reliability	GPT-3.5-turbo	Temperature:0 Others:default	ChatGPT's zero-shot requirements retrieval offers preliminary evidence for improved methods in RE.	zero-shot	Instruction-based 	Customized ( for information retrieval)	Available	No	Precision，recall，Fβ Measure	Architecture	ChatGPT's shortcomings in the precision of retrieving specific requirement information.	ChatGPT has shown high recall potential in requirement information retrieval tasks. It lays the foundation for developing effective requirement retrieval tools using generative language models.	Y	Y	Y	Y	4
2	Arulmohan S.; Meurs M.-J.; Mosser S.	Extracting Domain Models from Textual Requirements in the Era of Large Language Models	https://macsphere.mcmaster.ca/handle/11375/28836	6th Workshop on Artificial Intelligence and Model-driven Engineering（MDE Intelligence）	full	2023		✓				Explore the use of LLMs (GPT-3.5), to support the  extraction of domain models from agile product backlogs,  	NLP: Conditional Random Fields (CRF) for pattern recognition Comparison Tools: Visual Narrator (VN) for baseline comparison Annotation Platform: Doccano for creating the ground truth dataset	W1	Functional suitability, Maintainability		Temperature:0 Others:default	GPT-3.5 aids domain model extraction from user stories in agile backlogs with a conversational interface for requirements analysis.	few-shot(iterative and detailed prompts provided)	 Instruction-based and conversational prompts	Customized (for the extraction of domain concepts from user stories)	Available	No	F1 score (Precision, call)	Tools	GPT-3.5 outperforms traditional tools but lags behind a tailored CRF-based approach, showing potential for improvement in domain extraction.	GPT-3.5 shows significant potential for extracting domain models from textual requirements	Y	Y	Y	Y	4
3	Ronanki K.; Berger C.; Horkoff J.	Investigating ChatGPT's Potential to Assist in Requirements Elicitation Processes	https://arxiv.org/abs/2307.07381	ArXiv	full	2023	✓					Explore the potential of ChatGPT to assist in requirements  elicitation processes by evaluating the quality of requirements  generated by ChatGPT and comparing them with those  formulated by human RE experts. 	Interview-based Surveys: Conducted with RE experts from academia and industry Quality Evaluation: Evaluated based on seven different requirements quality attributes	A2	Functional suitability，Security	GPT-3.5	-	ChatGPT aids requirements elicitation by generating responses, which are compared with human-formulated requirements for quality assessment.	 	Question-based			No	Quality attributes (Correctness and Consistency)	Method	ChatGPT-generated requirements tend to have lower scores in Unambiguity and Feasibility compared to human experts, indicating areas where further improvement is needed	ChatGPT shows promise in supporting requirements elicitation but needs further refinement and human oversight to ensure high-quality requirements.	Y	Y	Y	Y	4
4	Jain C.; Anish P.R.; Singh A.; Ghaisas S.	A Transformer-based Approach for Abstractive Summarization of Requirements from Obligations in Software Engineering Contracts	A Transformer-based Approach for Abstractive Summarization of Requirements from Obligations in Software Engineering Contracts | IEEE Conference Publication | IEEE Xplore	 IEEE 31st International Requirements Engineering Conference (RE)	full	2023	✓	✓				Develop a method for summarizing high-level requirements from obligations present in software engineering contracts  using transformer-based models.	 Pegasus, T5, GPT-2, and BART 	C1	Functional suitability，Reliability	GPT-3 （generate initial training summary）	-	Generate concise abstractive summaries from contractual obligations for targeted questions during requirements elicitation.	zero shot	Instruction-based prompts	Customized (for summarizing contractual obligations into software requirements)	 	YES	ROUGE Scores / Human Evaluation	Method	Further refinement of the generated summaries is needed.	The approach significantly reduces the time and effort required for manual summarization by requirement analysts.	Y	Y	Y	Y	4
5	Fantechi A.; Gnesi S.; Passaro L.; Semini L.	Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation	https://ieeexplore.ieee.org/document/10260964	IEEE 31st International Requirements Engineering Conference (RE)	short	2023				✓		Evaluate the capability of ChatGPT to detect inconsistencies  in natural language requirements and compare its performance  with that of human experts.  	 	C2	Reliability，Maintainability	GPT-3.5		ChatGPT is used to automatically detect inconsistencies in natural language requirements for validation process.	one shot	Instruction-based prompts	 Customized( for detecting inconsistencies)	 	NO	Recall, Precision	Tools, Method	limitations in ChatGPT’s ability to process large documents	ChatGPT can effectively detect inconsistencies in requirements documents	Y	P	Y	Y	3.5
6	Gorer B.; Aydemir F.B.	Generating Requirements Elicitation Interview Scripts with Large Language Models	https://ieeexplore.ieee.org/document/10260795	IEEE 31st International Requirements Engineering Conference Workshops (REW)	full	2023	✓					Leverage LLM to automatically generate interview scripts for requirements elicitation. 	 	W2	Functional Suitability，Interaction Capability	GPT-3.5 and Bard		LLM generate interview scripts that mimic real-world requirements elicitation interviews	Few-shot and chain-of-thought 	Instruction-based prompts	Customized (for generating interview scripts with specific business domains)	 	NO BUT fine-tuning on domain-specific datasets is suggested.	Qualitative Evaluation Expert Review	Method	challenges in maintaining coherence and logical flow in complex interview scenarios	GPT-3.5 and Bard can effectively generate interview scripts that include typical analyst mistakes	Y	P	P	Y	3
7	Clements D.; Giannis E.; Crowe F.; Balapitiya M.; Marshall J.; Papadopoulos P.; Kanij T.	An Innovative Approach to Develop Persona from Application Reviews	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjFzYn7mqOGAxXPZvUHHfuhCF4QFnoECBQQAQ&url=https%3A%2F%2Fresearch.monash.edu%2Ffiles%2F501919780%2F472857069_oa.pdf&usg=AOvVaw3ADhcrUqjjd1jUk__Ot7i8&opi=89978449	18th International Conference on Evaluation of Novel Approaches to Software Engineering (ENASE 2023)	full	2023	✓					The paper proposes an innovative approach to develop user personas  from e-commerce application reviews using GPT-3 and PATHY	PATHY	C3	Functional Suitability Interaction Capability	GPT-3	Temperature:0	GPT-3 is used to automatically extract user characteristics from application reviews	zero shot	Instruction-based prompts	 		NO	Precision, Accuracy	Method	limitations in maintaining coherence and accuracy in extracted information	GPT-3 can effectively extract user facets from application reviews, which can then be used to develop detailed and informative personas	Y	Y	Y	Y	4
8	Blasek N.; Eichenmüller K.; Ernst B.; Götz N.; Nast B.; Sandkuhl K.	Large language models in requirements engineering for digital twins	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi41Lvy56eGAxVNh68BHQFTD9sQFnoECBEQAQ&url=https%3A%2F%2Fceur-ws.org%2FVol-3645%2Fdte1.pdf&usg=AOvVaw2DvzmxE61OmNFIN35xL2oD&opi=89978449	16th IFIP WG 8.1 Working Conference on the Practice of Enterprise Modeling and the 13th Enterprise Design and Engineering Working Conference,	full	2023	✓					Investigated the quality of LLM output in defining requirements for digital twins.	 	C4	Functional suitability，Reliability	GPT-4		ChatGPT is used to simulate expert interviews and generate detailed requirements for digital twins.	 	Instruction-based prompts 	 		NO	Precision, Completeness, Qualitative Analysis	Tools    	ChatGPT sometimes provides superfluous information and lacks specificity in certain areas	ChatGPT can generate a substantial portion of the requirements identified by domain experts	Y	Y	Y	Y	4
9	Chen B.; Chen K.; Hassani S.; Yang Y.; Amyot D.; Lessard L.; Mussbacher G.; Sabetzadeh M.; Varro D.	On the Use of GPT-4 for Creating Goal Models: An Exploratory Study	https://ieeexplore.ieee.org/document/10260905	IEEE 31st International Requirements Engineering Conference Workshops (REW)	full	2023	✓					Evaluated GPT-4’s ability to create and refine goal models using the Goal-oriented Requirement Language. 	 	W3	 Performance Efficiency，Usability 	GPT-4	Temperature:0.5	GPT-4 is used to generate goal models from textual descriptions and refine them interactively based on user feedback	few shot	Instruction Ques	Customized for goal modeling using GRL	Available	No	Precision, Completeness, Qualitative Analysis	Tools, Method	limitations in GPT-4’s ability to generate domain-specific and conflict-highlighted elements	GPT-4 can generate partially accurate goal models with some domain-specific elements	Y	Y	Y	Y	4
10	Cosler M.; Hahn C.; Mendoza D.; Schmitt F.; Trippel C.	nl2spec: Interactively Translating Unstructured Natural Language to Temporal Logics with Large Language Models	https://arxiv.org/abs/2303.04864	ArXiv	full	2023			✓	✓		Presents a framework (nl2spec) that applies LLMs to derive formal specifications from natural language inputs. 	 	A3	 Functional Suitability，Usability	Codex (a variant of GPT-3) and Bloom	Temperature:0.2	LLM is used to automatically translate natural language requirements into temporal logic formulas.	Few-shot	Instruction-based		Available	No	Initial Translation Accuracy, Ambiguity Detection, Fixing Erroneous Translations, Translation Loops	Framework	challenges in maintaining translation accuracy for highly complex natural language requirements 	nl2spec can efficiently translate natural language requirements into temporal logic formulas with high accuracy after interactive refinement. 	Y	Y	Y	Y	4
