ID,Authors,Title,Abstract,Year,Source title,Link,Haowei,Category: [LLM/GPT/BERT in RE]  [Review/Unrelated/Unclear],Jati,Category: [LLM/GPT/BERT in RE]  [Review/Unrelated/Unclear],Inclusion:[YES|NO],Haowei,Type of paper,Aspects of requirements,Type of RE activities,Modeling type,Model Type,Training Data,Fine-tuning,Prompt Engineering,Metrics,Role of LLM / GPT*,Challenge,Jati,Type of paper,Type of requirements,Type of RE activities,Modeling type,Application domain,Review Status,Final reviewer,Inclusion:[YES|NO],Type of paper,Type of requirements,Type of RE activities,Modeling type,Application domain
1,Spoletini P.; Ferrari A.,The Return of Formal Requirements Engineering in the Era of Large Language Models,"[ContextandMotivation] Large Language Models (LLMs) have made remarkable advancements in emulating human linguistic capabilities, showing potential
  in executing various traditional software engineering tasks, including code generation. [Question/Problem] Despite their generally good performance, utilizing
  LLM-generated code raises legitimate concerns regarding its correctness and the assurances it can provide. [Principal Idea/Results] To address these concerns,
  we propose turning to formal requirements engineering—a practice currently predominantly used in developing complex systems where adherence to standards 
 and accountability are required. [Contribution] In this vision paper, we discuss the integration of automatic formal requirements engineering techniques as a 
 complement to LLM code generation. Additionally, we explore how LLMs can facilitate the broader acceptance of formal requirements, thus making the vision
  proposed in this paper realizable. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",2024,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),https://link.springer.com/content/pdf/10.1007/978-3-031-57327-9.pdf (PAGE:344),Haowei,LLM4RE Review,,RE4LLM,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tikayat Ray A.; Cole B.F.; Pinon Fischer O.J.; Bhat A.P.; White R.T.; Mavris D.N.,Agile Methodology for the Standardization of Engineering Requirements Using Large Language Models,"The increased complexity of modern systems is calling for an integrated and comprehensive approach to system design and development and, in particular, a shift 
 toward Model-Based Systems Engineering (MBSE) approaches for system design. The requirements that serve as the foundation for these intricate systems are still 
primarily expressed in Natural Language (NL), which can contain ambiguities and inconsistencies and suffer from a lack of structure that hinders their direct translation 
into models. The colossal developments in the field of Natural Language Processing (NLP), in general, and Large Language Models (LLMs), in particular, can serve as
 an enabler for the conversion of NL requirements into machine-readable requirements. Doing so is expected to facilitate their standardization and use in a model-based
 environment. This paper discusses a two-fold strategy for converting NL requirements into machine-readable requirements using language models. The first approach
 involves creating a requirements table by extracting information from free-form NL requirements. The second approach consists of an agile methodology that facilitates
 the identification of boilerplate templates for different types of requirements based on observed linguistic patterns. For this study, three different LLMs are utilized. 
Two of these models are fine-tuned versions of Bidirectional Encoder Representations from Transformers (BERTs), specifically, aeroBERT-NER and aeroBERT-Classifier,
 which are trained on annotated aerospace corpora. Another LLM, called flair/chunk-english, is utilized to identify sentence chunks present in NL requirements. All three
 language models are utilized together to achieve the standardization of requirements. The effectiveness of the methodologies is demonstrated through the semi-automated
 creation of boilerplates for requirements from Parts 23 and 25 of Title 14 Code of Federal Regulations (CFRs). © 2023 by the authors.",2023,Systems,https://www.mdpi.com/2079-8954/11/7/352,Haowei,BERTinRE,,BERT in RE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Zhang J.; Chen Y.; Liu C.; Niu N.; Wang Y.,Empirical Evaluation of ChatGPT on Requirements Information Retrieval Under Zero-Shot Setting,"Recently, various illustrative examples have shown the impressive ability of generative large language models (LLMs) to perform NLP related tasks. ChatGPT
  undoubtedly is the most representative model. We empirically evaluate ChatGPT's performance on requirements information retrieval (IR) tasks to derive insights 
 into designing or developing more effective requirements retrieval methods or tools based on generative LLMs. We design an evaluation framework considering
  four different combinations of two popular IR tasks and two common artifact types. Under zero-shot setting, evaluation results reveal ChatGPT's promising ability
  to retrieve requirements relevant information (high recall) and limited ability to retrieve more specific requirements information (low precision). Our evaluation of 
 ChatGPT on requirements IR under zero-shot setting provides preliminary evidence for designing or developing more effective requirements IR methods or tools 
 based on generative LLMs. © 2023 IEEE.",2023,"Proceedings of 2023 2nd International Conference on Intelligent Computing and Next Generation Networks, ICNGN 2023",https://arxiv.org/abs/2304.12562,Haowei,GPTinRE,,GPTinRE,YES,Checked,Conference,"Functional Suitability（Functional Completeness， Functional Correctness）
Reliability（Fault Tolerance， Availability）",Elicitation，Analysis,No specific,GPT-3.5-turbo,"From: Public dataset
Size: Total 2199 pieces",No,YES - Zero-shot prompting ,precision、recall,"ChatGPT has the potential to retrieve the 
relevant information under the setting of zero samples","Limited Precision: Poor performance 
when distinguishing specific non -functional 
requirements information",,,,,,,,,,,,,,
4,Arulmohan S.; Meurs M.-J.; Mosser S.,Extracting Domain Models from Textual Requirements in the Era of Large Language Models,"Requirements Engineering is a critical part of the software lifecycle, describing what a given piece of software will do (functional) and how it will do it (non-functional).
Requirements documents are often textual, and it is up to software engineers to extract the relevant domain models from the text, which is an error-prone and time-consuming task. 
Considering the recent attention gained by Large Language Models (LLMs), we explored how they could support this task. This paper investigates how such models can be used to
 extract domain models from agile product backlogs and compare them to (i) a state-of-practice tool as well as (ii) a dedicated Natural Language Processing (NLP) approach, on top
 of a reference dataset of 22 products and 1, 679 user stories. Based on these results, this
 paper is a first step towards using LLMs and/or tailored NLP to support automated requirements engineering thanks to model extraction using artificial intelligence. © 2023 IEEE.",2023,"Proceedings - 2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2023",https://macsphere.mcmaster.ca/handle/11375/28836,Haowei,GPTinRE,,LLMinRE,YES,Checked,Conference,"Functional Suitability（Functional Completeness， Functional Correctness）
Performance Efficiency（Time Behaviour）",Analysis ,No specific（NLP4RE）,GPT-3.5-turbo,"From：Public dataset published by Dalpiaz et al..
Size： Total 1459 corpus",No,YES - Zero-shot prompting ,F-score,ChatGPT's potential in requirements information retrieval,"1. unconscious bias may introduced during annotation process
2. it is very hard to identify which elements influence the model 
positively or negatively.",,,,,,,,,,,,,,
5,Ronanki K.; Berger C.; Horkoff J.,Investigating ChatGPT's Potential to Assist in Requirements Elicitation Processes,"Natural Language Processing (NLP) for Requirements Engineering (RE) (NLP4RE) seeks to apply NLP tools, techniques, and resources to the RE process to increase
  the quality of the requirements. There is little research involving the utilization of Generative AI-based NLP tools and techniques for requirements elicitation. In 
 recent times, Large Language Models (LLM) like ChatGPT have gained significant recognition due to their notably improved performance in NLP tasks. To explore
  the potential of ChatGPT to assist in requirements elicitation processes, we formulated six questions to elicit requirements using ChatGPT. Using the same six questions,
 we conducted interview-based surveys with five RE experts from academia and industry and collected 30 responses containing requirements. The quality of these 36 responses
 (human-formulated + ChatGPT-generated) was evaluated over seven different requirements quality attributes by another five RE experts through a second round of interview-based 
surveys. In comparing the quality of requirements generated by ChatGPT with those formulated by human experts, we found that ChatGPT-generated requirements are highly Abstract,
 Atomic, Consistent, Correct, and Understandable. Based on these results, we present the most pressing issues related to LLMs and what future research should focus on to leverage 
the emergent behaviour of LLMs more effectively in natural language-based RE activities. © 2023 IEEE.",2023,"Proceedings - 2023 49th Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2023",https://arxiv.org/abs/2307.07381,Haowei,GPTinRE,,GPTinRE,YES,checked,Conference,"Functional Suitability（Functional Completeness， Functional Correctness）
Interaction Capability(Learnability, Operability)",Elicitation,No specific,GPT-3.5,"From：Round1-interview-based survey;
Round2-GPT 
Size:30/6. Total 36",No,YES - Used few-shot prompting with context-specific examples,"Correctness/Consistency/Understandability/

Unambiguity/Feasibility",Reduce the workload of artificial experts in preliminary requirements elicitation,"Unambiguity and Feasibility of the requirements received lower scores

Ambiguous presentation of requirements may lead to uncertainty in the 
decision-making process during the design stage

Feasibility is important to consider as a requirement is only of value 
if it can be transformed into a design and an implementation with reasonable effort and cost",,,,,,,,,,,,,,
6,Jain C.; Anish P.R.; Singh A.; Ghaisas S.,A Transformer-based Approach for Abstractive Summarization of Requirements from Obligations in Software Engineering Contracts,"Software Engineering (SE) contracts are a valuable source of software requirements. Seed requirements derived from SE contracts can provide a starting point to the
 Requirements Engineering (RE) phase. To extract such a seed however, a correct interpretation of contracts text is crucial. A major challenge with contracts text interpretation
 is that the text is lengthy, convoluted, and it incorporates a complex Legalese. If a summary of the high-level requirements from obligations present in SE contracts is available 
to the requirement analysts in a language that is comprehensible to them, they can use this seed requirements knowledge to ask the right questions to the stakeholders. 
In this paper, we propose an approach for summarizing the requirements present in obligations in a language comprehensible to requirement analysts. We use the principles 
of Prompt Engineering to prompt GPT-3 to generate summaries for training Natural Language Generation (NLG) models for generating SE-specific summaries. Experiments 
using NLG models such as BART, GPT-2, T5, and Pegasus indicate that Pegasus generates the most accurate summaries with the highest ROUGE score as compared to other models. © 2023 IEEE.",2023,Proceedings of the IEEE International Conference on Requirements Engineering,A Transformer-based Approach for Abstractive Summarization of Requirements from Obligations in Software Engineering Contracts | IEEE Conference Publication | IEEE Xplore,Haowei,LLMinRE,,LLMinRE,YES,Checked,Conference,"Functional Suitability（functional completeness ，functional appropriateness）
Interaction Capability（Learnability， Operability）",Elicitation,No specific,GPT-3 (generate initial training summary),"From: 251 expired SE contracts from 13 diverse application domains

Size: 
initial 251 SE contracts -> 57200 contractual statements
Finally 5587 statements",YES,YES-Zero-shot,ROUGE,Help requirement analysts by providing concise and comprehensible summaries of complex contract text,"Accuracy of Summaries: GPT-3 generated summaries required manual refinement to ensure accuracy and completeness.
Security: Using large models like GPT-3 poses data privacy and storage concerns, hence not used for final summarization.",,,,,,,,,,,,,,
7,Zhang X.; Liu L.; Wang Y.; Liu X.; Wang H.; Ren A.; Arora C.,PersonaGen: A Tool for Generating Personas from User Feedback,"Personas are crucial in software development processes, particularly in agile settings. However, no effective tools are available for generating personas from user 
 feedback in agile software development processes. To fill this gap, we propose a novel tool that uses the GPT-4 model and knowledge graph to generate persona 
templates from well-processed user feedback, facilitating requirement analysis in agile software development processes. We developed a tool called PersonaGen. 
We evaluated PersonaGen using qualitative feedback from a small-scale user study involving student software projects. The results were mixed, highlighting challenges
 in persona-based educational practice and addressing non-functional requirements. © 2023 IEEE.",2023,Proceedings of the IEEE International Conference on Requirements Engineering,https://ieeexplore.ieee.org/document/10260883,Haowei,GPTinRE,,GPTinRE,YES？,Checked,Conference,effeciency,Elicitation,No specific,GPT-4,"From student software projects
Size: 3 projects",No,YES- few shot,qualitative feedback from 13 students,"Personagen helps generate high-quality persona templates, and promote requirements acquisition process","
It is diffcult to analyze non-functional requirements",,,,,,,,,,,,,,
8,Fantechi A.; Gnesi S.; Passaro L.; Semini L.,Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation,"With the rapid advancement of tools based on Artificial Intelligence, it is interesting to assess their usefulness in requirements engineering. In early experiments, 
 we have seen that ChatGPT can detect inconsistency defects in natural language (NL) requirements, that traditional NLP tools cannot identify or can identify with 
difficulties even after domain-focused training. This study is devoted to specifically measuring the performance of ChatGPT in finding inconsistency in requirements. 
Positive results in this respect could lead to the use of ChatGPT to complement existing requirements analysis tools to automatically detect this important quality criterion. 
For this purpose, we consider GPT-3.5, the Generative Pretrained Transformer language model developed by OpenAI. We evaluate its ability to detect inconsistency 
by comparing its predictions with those obtained from expert judgments by students with a proven knowledge of RE issues on a few example requirements documents. © 2023 IEEE.",2023,Proceedings of the IEEE International Conference on Requirements Engineering,https://ieeexplore.ieee.org/document/10260964,Haowei,GPTinRE,,GPTinRE,YES,Checked,Conference,"Interaction Capability（Operability）
Reliability（Fault Tolerance，  Availability）",analysis & validation,No specific,GPT-3.5,"From：authors， company, agency
Size: 167 rqs",NO,YES-Zero-shot,precision、recall,"ChatGPT can complement manual analysis, particularly excelling in detecting some conflicts that experts might overlook. 
However, manual analysis  performs better in terms of precision and recall.","Lack of explainability and transparency
Document length limit
Manual verification of the results is still required to ensure accuracy",,,,,,,,,,,,,,
9,Gorer B.; Aydemir F.B.,Generating Requirements Elicitation Interview Scripts with Large Language Models,"Requirements elicitation interviews are the most popular requirements elicitation technique and an integral part of requirements engineering education. Good and
  bad interview scripts provide students with examples of applying the theory. Constructing an interview script requires technical knowledge, practical experience, and creativity. 
As a result, only a few educational interview scripts are available to the community. This paper explores automatically generating interview scripts with large language models through
 prompt engineering. Our contribution is two-fold: First, we present a graph representation of interactive interview scripts. Second, we apply prompt engineering techniques to generate 
business domain descriptions, linear scripts, and conversation pieces focused on certain types of mistakes. Our findings indicate that large language models face challenges in handling 
interview conversation graphs. However, we can enhance the quality of the generated interview scripts by decomposing the task into smaller components and refining the prompts to 
provide more precise instructions. © 2023 IEEE.",2023,"Proceedings - 31st IEEE International Requirements Engineering Conference Workshops, REW 2023",https://ieeexplore.ieee.org/document/10260795,Haowei,LLMinRE,,GPTinRE,YES,Checked,Workshop,"Functional Suitability（functional completeness ，functional appropriateness）
Interaction Capability（Learnability， Operability， Appropriateness Recognizability）",Elicitation,No specific,"GPT-3.5
Google Bard",From：interview script by Debnath and Spoletini,NO,"YES 
few shot and chain-of-thought prompting",Semantic Similarity Metrics：BERTScore，Cosine Similarity of Sentence Embeddings,"LLM can complement traditional requirements elicitation methods, particularly excelling in generating interview scripts. They are effective in capturing typical analyst mistakes and generating corresponding script segments.

"," LLMs face difficulties in processing complex interview conversation graphs
Complex tasks require careful prompt design",,,,,,,,,,,,,,
10,Clements D.; Giannis E.; Crowe F.; Balapitiya M.; Marshall J.; Papadopoulos P.; Kanij T.,An Innovative Approach to Develop Persona from Application Reviews,"Software end users are diverse by nature and their different facets influence the way they use software. An understanding of the users and their needs are achieved
  by engaging with the users during requirement engineering. However, sometimes recruiting users during requirement engineering phase can be very challenging. An accessible 
way to understand a user's perspective and traits is through user application reviews. This research paper proposes an innovative approach to develop user personas from a data 
set of e-commerce application user reviews by using GPT-3 and PATHY. This enables the development teams to see different demographic data, as well as overall frustrations and 
expectations that users of their platform possess, so developers know how to enhance their software solutions. This is also helpful to developers of new e-commerce applications. 
Copyright © 2023 by SCITEPRESS - Science and Technology Publications, Lda. Under CC license (CC BY-NC-ND 4.0)",2023,"International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE - Proceedings",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjFzYn7mqOGAxXPZvUHHfuhCF4QFnoECBQQAQ&url=https%3A%2F%2Fresearch.monash.edu%2Ffiles%2F501919780%2F472857069_oa.pdf&usg=AOvVaw3ADhcrUqjjd1jUk__Ot7i8&opi=89978449,Haowei,GPTinRE,,GPTinRE,YES,Checked,Conference,"Functional Suitability（functional completeness ，functional appropriateness）
Performance Efficiency（Time Behaviour， Resource Utilization）",elicitation,No specific,GPT-3,"From：Application reviews were extracted from 25 different e-
commerce applications from open source app store and play store
Size：4999  （4931 were analysed）",NO,"YES
Zero shot",information power+qualitative,"It is beneficial for developers of new e-commerce platforms to understand the diverse user facets and their needs.
","GPT-3 may face challenges when processing reviews with spelling errors or incomplete
 information, which can affect the accuracy of feature extraction.",,,,,,,,,,,,,,
