,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
New (2024.12-2025.5),Title,Authors,Year,Source,DOI,URL,Type,Title_lower,Status,Match_Selected,Match_Removed,Analysis_Action,Name,"Inclusion:  1. Papers addressing GenAI for RE AND 2. fully written in English
Exclusion: 1. . Papers that focus on GenAI for SE but not specifically on RE 
2. Papers that consider BERT as a GenAI or LLM 
3. Gray literature such as book chapters, PhD theses, white papers, and blogs 
4. Secondary studies (e.g., review articles, surveys) 
","Inclusion:[YES|NO]
If NO, following analysis is not necessary",full paper/ short paper,Elicitation,"Analysis","Specification","Validation",Management,Application Domain,Task Specificity,Specific LLM Model & Version,Fine-tuning,Parameters (Especially temperature),LLM Integration Strategy,LLM Application Techniques,Prompt Engineering (Learning paradigms),Prompt Type,Prompt Availability,Tool/Prototype Name,Tool Availability,Dataset/Benchmark Name,Dataset Availability,Evaluation Metrics,Evaluation Methodology,Characteristics of the model (ISO/IEC 25059),Q1: Is the research goal and context clearly stated in the paper?,Q2: Is the research methodology appropriate and rigorously applied to meet the stated objectives?,Q3: Is the data analysis comprehensive and are the results thoroughly presented?,Q4: Are the limitations adequately discussed and are meaningful suggestions provided for future research?,TOTAL,Bias and Fairness,Ethical and Regulatory Concerns,Security and Privacy,Interpretability and Explainability,Computational and Economic Cost,Real-Time Processing,Hallucinations,Reproducibility,Controllability,Authorship and Copyright,Industrial Adoption Status,Limitations
1,Evaluating Large Language Models in Exercises of UML Class Diagram Modeling,"De Bari, Daniele and Garaccione, Giacomo and Coppola, Riccardo and Torchiano, Marco and Ardito, Luca",2024,ACM DL,10.1145/3674805.3690741,https://doi.org/10.1145/3674805.3690741,,evaluating large language models in exercises of uml class diagram modeling,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,1,,,Software development education,UML diagram generation,ChatGPT-4,No,No,Standalone (used as a single-step generator via a fixed prompt),No,One-shot ,Instruction,Yes,No,No,"Custom dataset of 20 educational UML exercises (proprietary compilation, publicly shared)",Yes,"Semantic Errors, Syntactic Errors, Pragmatic Errors",Controlled Experiment with human vs. LLM-generated diagrams,"Functional Suitability, Usability, ",1,1,1,1,4,1,0,0,1,0,0,1,1,0,0,Discussed Potential,"Small dataset, Only one prompt, One human annotator"
2,CoDefeater: Using LLMs To Find Defeaters in Assurance Cases,"Gohar, Usman and Hunter, Michael C. and Lutz, Robyn R. and Cohen, Myra B.",2024,ACM DL,10.1145/3691620.3695296,https://doi.org/10.1145/3691620.3695296,,codefeater: using llms to find defeaters in assurance cases,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,,1,,Safety-Critical Systems,Defeaters recognition,GPT-3.5-turbo,No,No,Standalone,No,Zero-shot/Role-based prompting,Instruction + Iterative,Yes,CoDefeater,Yes,"LHC MPS, sUAS Battery",Yes,Human Evaluation,Double review manual coding,"Functional Suitability, Usability",1,1,1,1,4,1,0,0,1,0,1,1,1,1,0,Prototype,"GPT-3.5 does not handle implicit assumptions well.
Only handles a single claim
Generalization ability"
3,Designing a Tool that automatically translates Makaton signs from live video streams into written English,"Karkalas, Sokratis and Omoyemi, Omotayo Emmanuel",2025,ACM DL,10.1145/3708635.3708647,https://doi.org/10.1145/3708635.3708647,,designing a tool that automatically translates makaton signs from live video streams into written english,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,,,,General,System requirement mining capability,GPT-4,No,No,Standalone,multi-turn dialogue simulation,Role-based,Instruction + Iterative,Yes,No,No,Self-Build Requirements Scenarios Corpus,Yes,"Recall, Precision, F1-score",Multi-model comparison experiment,"Functional Suitability, Usability",1,1,1,1,4,1,0,0,1,0,0,1,1,1,0,Prototype,"The problem of context forgetting
Task simulation lacks real customer involvement"
4,BKRAG : A BGE Reranker RAG for similarity analysis of power project requirements,"Guo, Jun and Chen, Bojian and Zhao, Zhichao and He, Jindong and Chen, Shichun and Hu, Donglan and Pan, Hao",2024,ACM DL,10.1145/3689218.3689224,https://doi.org/10.1145/3689218.3689224,,bkrag : a bge reranker rag for similarity analysis of power project requirements,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,,,Power Project Requirements,Requirements Similarity Analysis,GPT-4 ,No,No,Hybrid: RAG + Rerank Model,Retrieval-Aided Prompting,,Instruction + Description,Yes,BKRAG,No,Power Project Dataset,No,"Hit Rate, MRR (Mean Reciprocal Rank)",Controlled experiment,Functional Suitability,1,1,1,0.5,3.5,0,0,0,0,1,0,1,0,1,0,Concept,"GPT-4 cost issues lead to only sampling a portion of the data
Generalization and multitasking ability were not discussed"
5,"Translation Titans, Reasoning Challenges: Satisfiability-Aided Language Models for Detecting Conflicting Requirements","Fazelnia, Mohamad and Mirakhorli, Mehdi and Bagheri, Hamid",2024,ACM DL,10.1145/3691620.3695302,https://doi.org/10.1145/3691620.3695302,,"translation titans, reasoning challenges: satisfiability-aided language models for detecting conflicting requirements",New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,1,,General software system,Conflicting Requirements Detection,GPT-4,No,No,SAT-LLM Framework, SMT formal logic reasoning/FOL formalization protocol,Few-shot + Instructional prompting,Instruction + Description + Example Based,Yes,SAT-LLM,No,From Fazelnia et al. 's work, Partial,"Precision, Recall, F1-Score",Controlled experiments,"Functional Suitability, Reliability, Performance Efficiency",1,1,1,1,4,0,0,0,1,0,0,1,0,1,0,Concept / Prototype,SAT-LLM has limited identification capabilities in Forbid-Stop and Output-Output type requirements
6,Toward Intelligent Generation of Tailored Graphical Concrete Syntax,"Ben Chaaben, Meriem and Ben Sghaier, Oussama and Dhaouadi, Mouna and Elrasheed, Nafisa and Darif, Ikram and Jaoua, Imen and Oakes, Bentley and Syriani, Eugene and Hamdaqa, Mohammad",2024,ACM DL,10.1145/3640310.3674085,https://doi.org/10.1145/3640310.3674085,,toward intelligent generation of tailored graphical concrete syntax,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,1,1,,Generic Domain,Concrete Syntax Generation/User Preference Modeling,GPT-4-1106-vision-preview,No,No,Standalone/Iterative,Symbolic reasoning,Few-shot+COT,Instruction+Description+Iterative refinement,Yes,Baseline intelligent CS generation framework,No,No,No,No,Case Study,"Usability, Functional Suitability",1,1,0.5,1,3.5,1,0,1,0,1,0,1,1,1,0,Concept/Vision paper,"Image generation capability is limited, especially for complex and abstract graphics."
7,What Is Wrong with My Model? Identifying Systematic Problems with Semantic Data Slicing,"Yang, Chenyang and Hong, Yining and Lewis, Grace and Wu, Tongshuang and K\""{a}stner, Christian",2024,ACM DL,10.1145/3691620.3695033,https://doi.org/10.1145/3691620.3695033,,what is wrong with my model? identifying systematic problems with semantic data slicing,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,1,,General-purpose ML model validation,Systematic error hypothesis validation,GPT-4-turbo-preview,No,"temperature=0, temperature=1",Standalone tool used in RE workflow,"Prompt optimization, few-shot example generation","Zero-shot,Few-shot ",Instruction + Classification prompt,Yes,SemSlicer,Yes,"CivilComments, HateCheck, AdaTest, Amazon Reviews",Yes,"F1-score,Accuracy ",Controlled experiment + Human subject case study,"Functional Suitability, Efficiency, Usability, Maintainability, Reproducibility/Portability",1,1,1,1,4,1,0,0,1,1,1,0,1,1,0,Prototype,The practical issues of label quality and few-shot sample synthesis
8,Rethinking Software Engineering in the Era of Foundation Models: A Curated Catalogue of Challenges in the Development of Trustworthy FMware,"Hassan, Ahmed E. and Lin, Dayi and Rajbahadur, Gopi Krishnan and Gallaba, Keheliya and Cogo, Filipe Roseiro and Chen, Boyuan and Zhang, Haoxiang and Thangarajah, Kishanthan and Oliva, Gustavo and Lin, Jiahuei (Justina) and Abdullah, Wali Mohammad and Jiang, Zhen Ming (Jack)",2024,ACM DL,10.1145/3663529.3663849,https://doi.org/10.1145/3663529.3663849,,rethinking software engineering in the era of foundation models: a curated catalogue of challenges in the development of trustworthy fmware,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,1,,,Enterprise-level software development scenarios,Challenges of requirements specification,GPT-4 ,Yes-Domain-adapted/Task-adapted,temperature=0,"Hybrid(Promptware, Agentware)","RLHF,Symbolic AI","Few-shot, COT","Instruction, Iterative Chains",Yes,FMArts,Partially open source,No,No,Human Evaluation. Correlation with GPT-4 Based Evaluation,"Based on experience summary, combined with the author's self-developed platform FMArts practice","Functional Suitability, Reliability, Performance Efficiency, Usability, Maintainability",1,0.5,0.5,1,3,1,1,0,1,1,0,1,0,0,0,Pilot Project to In-Production Transition,Lack of systematic empirical research
9,Towards an Automatic Extracting UML Class Diagram from System's Textual Specification,"Babaalla, Zakaria and Jakimi, Abdeslam and Oualla, Mohamed and Saadane, Rachid and Chehri, Abdellah",2024,ACM DL,10.1145/3659677.3659742,https://doi.org/10.1145/3659677.3659742,,towards an automatic extracting uml class diagram from system's textual specification,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,,,Generic Domain,UML class diagram modeling task,LLaMA-2、GPT-2,No,No,Hybrid,"Bi-LSTM, Tree-LSTM, Softmax, Similarity Measures",No,No,No,No,No,No,NO,No,No,No,1,0.5,0,0.5,2,0,0,0,0,0,0,0,0,0,0,Early-stage concept,Model has not been trained yet and is in the stage of data preprocessing and corpus construction.
